ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID
MNT-00052,2024-04-01,Emergencia,Bueno,Malo,9157760
MNT-00053,2024-04-27,Emergencia,Regular,Regular,21140
MNT-00054,2024-06-09,Emergencia,Bueno,Bueno,24703
MNT-00055,2024-09-23,Emergencia,Malo,Malo,59353
MNT-00056,2023-09-11,Preventivo,Malo,Malo,6878766
MNT-00057,2024-05-26,Emergencia,Malo,Bueno,4985742
MNT-00058,2024-07-23,Emergencia,Regular,Malo,21681
MNT-00059,2024-01-18,Preventivo,Malo,Regular,21688
MNT-00060,2024-08-01,Correctivo,Malo,Regular,9389678
MNT-00061,2024-03-08,Preventivo,Bueno,Malo,9129831
MNT-00062,2024-03-11,Preventivo,Bueno,Malo,25588
MNT-00063,2024-04-04,Preventivo,Bueno,Bueno,59771
MNT-00064,2023-10-20,Correctivo,Regular,Bueno,25029
MNT-00065,2024-05-15,Correctivo,Malo,Malo,3580731
MNT-00066,2024-07-27,Preventivo,Regular,Malo,4750002
MNT-00067,2024-02-27,Preventivo,Malo,Bueno,21092
MNT-00068,2024-01-08,Emergencia,Bueno,Malo,7872672
MNT-00069,2023-11-16,Emergencia,Bueno,Malo,21339
MNT-00070,2024-09-28,Preventivo,Regular,Bueno,3573457
MNT-00071,2024-03-25,Preventivo,Malo,Malo,59163
MNT-00072,2023-10-28,Emergencia,Regular,Bueno,59925
MNT-00073,2024-03-24,Correctivo,Regular,Bueno,33727
MNT-00074,2024-02-07,Correctivo,Malo,Malo,9397139
MNT-00075,2024-05-18,Correctivo,Malo,Regular,25630
MNT-00076,2024-06-25,Emergencia,Regular,Regular,52881
MNT-00077,2024-05-31,Emergencia,Regular,Bueno,32918
MNT-00078,2024-03-19,Preventivo,Bueno,Bueno,25696
MNT-00079,2024-04-25,Correctivo,Bueno,Malo,32726
MNT-00080,2024-05-22,Correctivo,Regular,Malo,9492978
MNT-00081,2023-10-28,Preventivo,Malo,Malo,58942
MNT-00082,2024-10-04,Emergencia,Regular,Regular,58669
MNT-00083,2024-09-13,Emergencia,Bueno,Regular,3568984
MNT-00084,2024-01-23,Correctivo,Bueno,Regular,8820187
MNT-00085,2023-11-08,Preventivo,Regular,Bueno,58807
MNT-00086,2024-11-10,Preventivo,Malo,Malo,58331
MNT-00087,2024-09-25,Preventivo,Regular,Bueno,20243
MNT-00088,2024-06-14,Preventivo,Malo,Regular,9177751
MNT-00089,2024-01-19,Emergencia,Regular,Bueno,4992011
MNT-00090,2023-12-13,Correctivo,Bueno,Regular,4988363
MNT-00091,2023-10-21,Emergencia,Bueno,Malo,33142
MNT-00092,2024-02-04,Correctivo,Malo,Bueno,60137
MNT-00093,2024-06-21,Emergencia,Regular,Bueno,5025124
MNT-00094,2024-01-19,Emergencia,Regular,Malo,59883
MNT-00095,2024-02-16,Emergencia,Malo,Bueno,34743
MNT-00096,2023-10-28,Preventivo,Regular,Malo,7895400
MNT-00097,2024-10-07,Emergencia,Malo,Bueno,8817614
MNT-00098,2024-05-10,Emergencia,Regular,Malo,7672874
MNT-00099,2024-04-03,Correctivo,Regular,Regular,7588210
MNT-00100,2024-01-26,Correctivo,Bueno,Regular,60020
MNT-00101,2024-06-23,Emergencia,Regular,Bueno,5174671
MNT-00102,2024-03-08,Emergencia,Regular,Regular,58499
MNT-00103,2024-09-27,Preventivo,Malo,Malo,35152
MNT-00104,2024-06-17,Correctivo,Malo,Regular,59016
MNT-00105,2024-04-07,Emergencia,Regular,Malo,3568696
MNT-00106,2023-12-23,Correctivo,Regular,Malo,21125
MNT-00107,2024-06-03,Correctivo,Regular,Bueno,5241059
MNT-00108,2024-08-07,Emergencia,Regular,Regular,8941054
MNT-00109,2023-12-12,Preventivo,Bueno,Bueno,5658100
MNT-00110,2024-01-25,Emergencia,Malo,Bueno,5657902
MNT-00111,2024-05-30,Correctivo,Regular,Regular,25074
MNT-00112,2024-07-07,Correctivo,Malo,Bueno,59359
MNT-00113,2024-02-03,Emergencia,Malo,Bueno,20749
MNT-00114,2024-02-11,Preventivo,Malo,Bueno,6878958
MNT-00115,2024-09-10,Correctivo,Malo,Regular,58490
MNT-00116,2024-04-04,Emergencia,Malo,Bueno,7934559
MNT-00117,2023-12-16,Emergencia,Bueno,Bueno,6761239
MNT-00118,2024-07-18,Preventivo,Malo,Regular,6778176
MNT-00119,2023-11-09,Preventivo,Regular,Malo,9048980
MNT-00120,2024-10-10,Emergencia,Regular,Regular,6878761
MNT-00121,2024-01-21,Preventivo,Malo,Regular,19718
MNT-00122,2024-03-31,Preventivo,Malo,Bueno,4988105
MNT-00123,2024-01-30,Correctivo,Regular,Malo,21087
MNT-00124,2023-10-18,Correctivo,Regular,Malo,21536
MNT-00125,2024-09-24,Emergencia,Regular,Regular,20046
MNT-00126,2023-11-15,Correctivo,Bueno,Regular,21007
MNT-00127,2023-12-06,Correctivo,Malo,Regular,19426
MNT-00128,2024-02-11,Preventivo,Bueno,Malo,20187
MNT-00129,2024-09-06,Preventivo,Malo,Bueno,7927325
MNT-00130,2024-07-18,Preventivo,Malo,Malo,22445
MNT-00131,2024-08-28,Emergencia,Regular,Regular,33208
MNT-00132,2024-09-10,Preventivo,Regular,Regular,5249944
MNT-00133,2024-07-22,Correctivo,Bueno,Regular,20585
MNT-00134,2024-05-15,Emergencia,Regular,Bueno,8971301
MNT-00135,2023-12-17,Preventivo,Bueno,Bueno,9177931
MNT-00136,2024-04-14,Correctivo,Regular,Malo,5240867
MNT-00137,2024-01-01,Preventivo,Regular,Bueno,58294
MNT-00138,2024-01-08,Preventivo,Malo,Bueno,60060
MNT-00139,2024-06-14,Preventivo,Malo,Regular,7792012
MNT-00140,2024-01-30,Preventivo,Regular,Bueno,33703
MNT-00141,2023-11-16,Correctivo,Bueno,Bueno,7802478
MNT-00142,2023-11-02,Preventivo,Regular,Bueno,24922
MNT-00143,2024-03-18,Correctivo,Bueno,Malo,33593
MNT-00144,2024-01-29,Emergencia,Malo,Regular,8987321
MNT-00145,2024-09-25,Emergencia,Bueno,Bueno,9493030
MNT-00146,2024-02-23,Preventivo,Malo,Regular,7240162
MNT-00147,2024-07-22,Preventivo,Malo,Bueno,21861
MNT-00148,2024-02-15,Emergencia,Regular,Regular,4737960
MNT-00149,2024-08-12,Preventivo,Regular,Regular,5231453
MNT-00150,2024-09-08,Preventivo,Regular,Regular,24872
MNT-00151,2024-01-19,Emergencia,Bueno,Bueno,33550
MNT-00152,2024-10-06,Preventivo,Bueno,Bueno,58615
MNT-00153,2023-11-28,Emergencia,Malo,Malo,24746
MNT-00154,2024-02-24,Preventivo,Regular,Regular,9295465
MNT-00155,2024-01-28,Correctivo,Malo,Bueno,9184890
MNT-00156,2023-11-08,Preventivo,Malo,Regular,4960333
MNT-00157,2024-05-08,Emergencia,Bueno,Malo,4730882
MNT-00158,2024-02-07,Correctivo,Regular,Bueno,58788
MNT-00159,2024-02-06,Correctivo,Malo,Regular,18846
MNT-00160,2024-01-21,Preventivo,Regular,Bueno,33976
MNT-00161,2024-03-28,Preventivo,Malo,Malo,19533
MNT-00162,2024-06-22,Emergencia,Regular,Malo,4987839
MNT-00163,2023-06-11,Correctivo,Bueno,Malo,4987794
MNT-00164,2024-05-01,Correctivo,Bueno,Malo,24788
MNT-00165,2024-08-03,Emergencia,Malo,Malo,3568750
MNT-00166,2024-01-09,Correctivo,Regular,Bueno,5658962
MNT-00167,2024-06-07,Correctivo,Bueno,Bueno,3994638
MNT-00168,2023-01-12,Correctivo,Regular,Bueno,19215
MNT-00169,2024-04-16,Correctivo,Bueno,Regular,33282
MNT-00170,2024-01-29,Correctivo,Bueno,Regular,59776
MNT-00171,2024-03-05,Preventivo,Bueno,Bueno,5599622
MNT-00172,2024-08-16,Preventivo,Malo,Regular,9470338
MNT-00173,2023-11-13,Emergencia,Regular,Malo,7889390
MNT-00174,2024-09-16,Emergencia,Malo,Bueno,21844
MNT-00175,2024-08-23,Correctivo,Regular,Malo,5658594
MNT-00176,2024-09-23,Correctivo,Regular,Regular,20168
MNT-00177,2024-05-09,Emergencia,Malo,Malo,4737934
MNT-00178,2024-10-05,Preventivo,Malo,Malo,25837
MNT-00179,2024-08-27,Preventivo,Regular,Malo,7794412
MNT-00180,2024-03-30,Correctivo,Bueno,Bueno,5173936
MNT-00181,2023-12-05,Emergencia,Bueno,Regular,8804525
MNT-00182,2024-09-16,Correctivo,Malo,Regular,35183
MNT-00183,2023-10-18,Preventivo,Regular,Bueno,21845
MNT-00184,2024-07-25,Preventivo,Regular,Regular,58391
MNT-00185,2024-03-07,Emergencia,Regular,Bueno,4737877
MNT-00186,2023-11-13,Preventivo,Regular,Regular,7928440
MNT-00187,2024-04-02,Preventivo,Regular,Regular,9284743
MNT-00188,2024-01-03,Preventivo,Regular,Regular,7526687
MNT-00189,2023-11-19,Emergencia,Regular,Bueno,4750008
MNT-00190,2024-08-29,Correctivo,Regular,Regular,53208
MNT-00191,2023-12-31,Emergencia,Regular,Bueno,3576050
MNT-00192,2024-05-04,Emergencia,Malo,Malo,3575561
MNT-00193,2024-05-04,Preventivo,Malo,Malo,22438
MNT-00194,2024-01-22,Emergencia,Regular,Malo,4795148
MNT-00195,2024-09-05,Preventivo,Regular,Bueno,19838
MNT-00196,2024-05-03,Emergencia,Bueno,Malo,5602454
MNT-00197,2023-11-20,Correctivo,Bueno,Regular,33170
MNT-00198,2024-01-08,Correctivo,Bueno,Regular,5245394
MNT-00199,2024-10-04,Preventivo,Regular,Bueno,5220803
MNT-00200,2024-10-11,Emergencia,Malo,Bueno,19792
MNT-00201,2024-05-01,Preventivo,Regular,Bueno,58062
MNT-00202,2024-04-29,Preventivo,Regular,Malo,7794492
MNT-00203,2023-12-30,Preventivo,Regular,Regular,8978410
MNT-00204,2024-06-25,Preventivo,Regular,Bueno,59356
MNT-00205,2024-08-18,Preventivo,Regular,Malo,3530725
MNT-00206,2024-07-14,Preventivo,Bueno,Regular,5237088
MNT-00207,2024-03-08,Emergencia,Regular,Malo,20095
MNT-00208,2024-03-20,Preventivo,Regular,Bueno,7896549
MNT-00209,2024-05-08,Emergencia,Bueno,Malo,9291545
MNT-00210,2023-10-17,Preventivo,Malo,Bueno,22165
MNT-00211,2023-10-21,Correctivo,Bueno,Regular,3577005
MNT-00212,2024-06-18,Emergencia,Bueno,Malo,35117
MNT-00213,2023-12-27,Preventivo,Malo,Malo,4984514
MNT-00214,2024-02-21,Emergencia,Bueno,Regular,19933
MNT-00215,2023-11-14,Correctivo,Malo,Malo,7168585
MNT-00216,2024-09-28,Preventivo,Bueno,Regular,21289
MNT-00217,2024-02-20,Preventivo,Malo,Regular,6777775
MNT-00218,2024-02-04,Preventivo,Malo,Malo,4731212
MNT-00219,2023-11-18,Preventivo,Bueno,Regular,7125615
MNT-00220,2024-01-08,Correctivo,Bueno,Bueno,7126931
MNT-00221,2024-06-17,Correctivo,Regular,Bueno,33821
MNT-00222,2023-10-18,Preventivo,Regular,Regular,9424313
MNT-00223,2024-07-19,Emergencia,Bueno,Regular,5238914
MNT-00224,2024-07-10,Emergencia,Regular,Bueno,21070
MNT-00225,2024-06-09,Preventivo,Malo,Bueno,58422
MNT-00226,2024-10-01,Preventivo,Bueno,Regular,20999
MNT-00227,2024-08-13,Emergencia,Bueno,Bueno,59451
MNT-00228,2024-03-31,Preventivo,Regular,Bueno,7903920
MNT-00229,2024-03-28,Correctivo,Bueno,Bueno,9129847
MNT-00230,2024-08-20,Emergencia,Malo,Bueno,3963368
MNT-00231,2023-12-18,Correctivo,Regular,Bueno,4963385
MNT-00232,2024-06-02,Correctivo,Regular,Regular,19304
MNT-00233,2024-05-14,Emergencia,Bueno,Regular,3569328
MNT-00234,2024-09-20,Emergencia,Malo,Regular,58975
MNT-00235,2023-10-15,Preventivo,Malo,Regular,58315
MNT-00236,2024-07-08,Preventivo,Regular,Bueno,33091
MNT-00237,2024-06-06,Correctivo,Malo,Regular,22475
MNT-00238,2024-04-22,Emergencia,Bueno,Regular,57987
MNT-00239,2024-08-27,Emergencia,Malo,Regular,3567922
MNT-00240,2023-11-26,Emergencia,Regular,Malo,3743757
MNT-00241,2024-03-27,Correctivo,Bueno,Malo,3531311
MNT-00242,2024-03-02,Correctivo,Bueno,Malo,7927335
MNT-00243,2024-02-14,Correctivo,Bueno,Malo,9435347
MNT-00244,2024-01-28,Preventivo,Regular,Regular,33919
MNT-00245,2024-02-12,Emergencia,Bueno,Bueno,24947
MNT-00246,2024-03-23,Correctivo,Malo,Malo,5492837
MNT-00247,2024-08-16,Correctivo,Malo,Regular,32734
MNT-00248,2024-01-18,Correctivo,Malo,Bueno,5128756
MNT-00249,2024-08-28,Preventivo,Bueno,Regular,9294740
MNT-00250,2024-04-04,Emergencia,Regular,Regular,33316
MNT-00251,2024-04-18,Emergencia,Malo,Regular,8891693
MNT-00252,2023-10-25,Preventivo,Bueno,Bueno,9191209
MNT-00253,2024-09-19,Preventivo,Regular,Bueno,9049856
MNT-00254,2023-11-10,Correctivo,Malo,Regular,33764
MNT-00255,2024-07-14,Preventivo,Regular,Regular,3568326
MNT-00256,2024-01-01,Correctivo,Malo,Bueno,5659370
MNT-00257,2024-11-02,Correctivo,Regular,Bueno,5195545
MNT-00258,2024-09-11,Correctivo,Regular,Malo,33658
MNT-00259,2024-07-23,Emergencia,Bueno,Regular,4793075
MNT-00260,2024-03-30,Emergencia,Bueno,Malo,19355
MNT-00261,2024-01-30,Correctivo,Regular,Malo,9176693
MNT-00262,2024-05-04,Correctivo,Bueno,Bueno,7850128
MNT-00263,2024-05-15,Emergencia,Regular,Regular,7603085
MNT-00264,2024-08-20,Emergencia,Malo,Bueno,32492
MNT-00265,2024-04-16,Correctivo,Regular,Bueno,7761352
MNT-00266,2024-01-21,Preventivo,Regular,Bueno,5659593
MNT-00267,2024-05-29,Preventivo,Bueno,Regular,9288611
MNT-00268,2023-12-13,Emergencia,Bueno,Regular,21559
MNT-00269,2023-11-14,Preventivo,Regular,Regular,5492492
MNT-00270,2024-09-26,Emergencia,Malo,Bueno,25064
MNT-00271,2024-05-26,Preventivo,Regular,Regular,8803494
MNT-00272,2024-01-28,Correctivo,Bueno,Regular,3532743
MNT-00273,2024-01-15,Preventivo,Bueno,Bueno,8803674
MNT-00274,2024-07-31,Emergencia,Regular,Bueno,58501
MNT-00275,2024-09-30,Preventivo,Regular,Regular,5173654
MNT-00276,2023-11-14,Emergencia,Regular,Bueno,20157
MNT-00277,2024-04-23,Correctivo,Regular,Regular,7928585
MNT-00278,2024-02-09,Preventivo,Bueno,Regular,7144279
MNT-00279,2024-12-01,Emergencia,Malo,Bueno,6777775
MNT-00280,2024-07-03,Emergencia,Bueno,Malo,7126504
MNT-00281,2024-01-27,Emergencia,Bueno,Bueno,3569341
MNT-00282,2023-11-30,Preventivo,Regular,Bueno,32883
MNT-00283,2023-11-22,Correctivo,Bueno,Bueno,21930
MNT-00284,2024-01-18,Preventivo,Malo,Malo,33284
MNT-00285,2024-08-06,Correctivo,Malo,Bueno,22402
MNT-00286,2024-01-11,Emergencia,Regular,Bueno,3569233
MNT-00287,2024-04-07,Emergencia,Malo,Bueno,9051957
MNT-00288,2024-01-10,Emergencia,Regular,Bueno,3565660
MNT-00289,2024-09-13,Correctivo,Regular,Malo,7897954
MNT-00290,2023-10-23,Preventivo,Bueno,Bueno,8909769
MNT-00291,2024-06-03,Correctivo,Bueno,Bueno,24797
MNT-00292,2024-09-04,Correctivo,Malo,Malo,34782
MNT-00293,2024-05-12,Emergencia,Regular,Regular,3576564
MNT-00294,2024-06-25,Emergencia,Regular,Regular,33733
MNT-00295,2024-09-28,Correctivo,Malo,Malo,4737935
MNT-00296,2024-07-18,Preventivo,Malo,Regular,3581515
MNT-00297,2024-04-01,Preventivo,Regular,Regular,34132
MNT-00298,2024-08-29,Correctivo,Bueno,Malo,20281
MNT-00299,2023-11-02,Correctivo,Regular,Regular,8803428
MNT-00300,2023-12-06,Correctivo,Regular,Malo,59712
MNT-00301,2024-07-23,Emergencia,Bueno,Malo,7861628
MNT-00302,2024-09-12,Correctivo,Bueno,Regular,9187165
MNT-00303,2023-12-23,Preventivo,Regular,Malo,20517
MNT-00304,2023-12-24,Correctivo,Regular,Bueno,8976376
MNT-00305,2024-05-22,Preventivo,Regular,Malo,21161
MNT-00306,2024-06-06,Emergencia,Malo,Bueno,5220932
MNT-00307,2024-07-26,Emergencia,Malo,Malo,9494949
MNT-00308,2024-06-22,Correctivo,Bueno,Bueno,34959
MNT-00309,2024-01-14,Emergencia,Malo,Regular,25010
MNT-00310,2024-07-23,Preventivo,Malo,Malo,7059090
MNT-00311,2024-09-02,Preventivo,Regular,Bueno,34111
MNT-00312,2024-08-20,Emergencia,Bueno,Regular,19846
MNT-00313,2024-08-01,Preventivo,Malo,Malo,7862155
MNT-00314,2023-11-04,Emergencia,Bueno,Bueno,9398283
MNT-00315,2024-10-07,Emergencia,Regular,Malo,8888516
MNT-00316,2024-09-04,Emergencia,Bueno,Bueno,9405968
MNT-00317,2024-06-22,Emergencia,Malo,Malo,7861113
MNT-00318,2024-07-18,Correctivo,Regular,Bueno,33262
MNT-00319,2023-11-01,Correctivo,Bueno,Regular,7246290
MNT-00320,2024-10-13,Preventivo,Malo,Regular,60194
MNT-00321,2023-12-03,Correctivo,Bueno,Bueno,9291569
MNT-00322,2023-11-29,Correctivo,Bueno,Regular,4986213
MNT-00323,2024-08-25,Emergencia,Malo,Regular,58513
MNT-00324,2024-04-16,Preventivo,Malo,Regular,19326
MNT-00325,2024-02-15,Preventivo,Malo,Malo,8943961
MNT-00326,2023-11-07,Emergencia,Regular,Bueno,21792
MNT-00327,2024-01-28,Correctivo,Malo,Regular,7741881
MNT-00328,2023-06-11,Correctivo,Malo,Malo,22564
MNT-00329,2024-11-09,Preventivo,Malo,Bueno,8804540
MNT-00330,2024-07-07,Emergencia,Regular,Regular,7246004
MNT-00331,2024-09-01,Correctivo,Bueno,Malo,451354
MNT-00332,2024-02-10,Correctivo,Regular,Malo,7245932
MNT-00333,2024-07-07,Emergencia,Bueno,Bueno,3576356
MNT-00334,2024-05-29,Preventivo,Malo,Regular,58844
MNT-00335,2024-06-29,Emergencia,Malo,Bueno,9496468
MNT-00336,2024-04-19,Preventivo,Regular,Bueno,33866
MNT-00337,2024-09-25,Emergencia,Bueno,Malo,59184
MNT-00338,2024-07-13,Correctivo,Bueno,Bueno,3530747
MNT-00339,2024-02-24,Preventivo,Regular,Bueno,21792
MNT-00340,2024-10-02,Correctivo,Malo,Bueno,7928129
MNT-00341,2024-04-18,Correctivo,Malo,Bueno,19537
MNT-00342,2024-04-05,Preventivo,Regular,Regular,5197246
MNT-00343,2024-04-18,Correctivo,Malo,Malo,58136
MNT-00344,2023-12-18,Preventivo,Bueno,Malo,7889389
MNT-00345,2024-09-27,Correctivo,Malo,Bueno,34211
MNT-00346,2024-09-05,Correctivo,Malo,Regular,5025123
MNT-00347,2023-12-18,Correctivo,Bueno,Regular,58344
MNT-00348,2024-05-05,Correctivo,Bueno,Regular,3531006
MNT-00349,2024-09-12,Emergencia,Regular,Bueno,58796
MNT-00350,2024-09-21,Correctivo,Bueno,Regular,7116166
MNT-00351,2024-02-03,Emergencia,Regular,Bueno,9052557
MNT-00352,2024-06-13,Preventivo,Regular,Regular,5207248
MNT-00353,2024-09-09,Emergencia,Regular,Bueno,25026
MNT-00354,2024-08-16,Correctivo,Regular,Bueno,8820178
MNT-00355,2024-08-28,Preventivo,Regular,Bueno,34993
MNT-00356,2023-11-28,Emergencia,Bueno,Malo,58360
MNT-00357,2024-09-03,Correctivo,Bueno,Bueno,4795668
MNT-00358,2024-05-14,Preventivo,Regular,Bueno,19369
MNT-00359,2024-08-03,Emergencia,Regular,Regular,21148
MNT-00360,2023-11-04,Emergencia,Malo,Bueno,9157605
MNT-00361,2024-07-12,Emergencia,Regular,Bueno,59849
MNT-00362,2023-11-09,Preventivo,Malo,Bueno,7168681
MNT-00363,2024-06-04,Emergencia,Malo,Regular,5658295
MNT-00364,2023-12-02,Preventivo,Bueno,Bueno,3568960
MNT-00365,2024-05-26,Correctivo,Malo,Bueno,3566348
MNT-00366,2024-09-25,Correctivo,Malo,Malo,9243057
MNT-00367,2024-07-17,Emergencia,Regular,Regular,59999
MNT-00368,2023-12-27,Preventivo,Bueno,Malo,33685
MNT-00369,2024-02-21,Emergencia,Bueno,Malo,32689
MNT-00370,2024-05-12,Correctivo,Bueno,Regular,21623
MNT-00371,2024-08-05,Preventivo,Bueno,Bueno,4990334
MNT-00372,2024-01-14,Correctivo,Regular,Bueno,9157741
MNT-00373,2024-01-26,Emergencia,Malo,Bueno,21431
MNT-00374,2024-06-16,Preventivo,Malo,Bueno,5158947
MNT-00375,2024-11-02,Correctivo,Malo,Regular,7822977
MNT-00376,2023-11-19,Correctivo,Bueno,Bueno,5658641
MNT-00377,2023-10-29,Preventivo,Bueno,Malo,19538
MNT-00378,2024-07-21,Preventivo,Malo,Bueno,9313151
MNT-00379,2023-11-11,Correctivo,Bueno,Malo,5211277
MNT-00380,2024-03-13,Correctivo,Regular,Malo,3530995
MNT-00381,2024-06-11,Preventivo,Bueno,Regular,53218
MNT-00382,2023-10-30,Emergencia,Bueno,Malo,8987388
MNT-00383,2024-06-23,Preventivo,Malo,Malo,9291631
MNT-00384,2024-09-18,Preventivo,Regular,Bueno,5601894
MNT-00385,2024-08-11,Preventivo,Malo,Malo,7143542
MNT-00386,2023-11-15,Emergencia,Bueno,Regular,5071829
MNT-00387,2024-03-28,Emergencia,Regular,Bueno,22095
MNT-00388,2024-08-08,Emergencia,Regular,Bueno,5211400
MNT-00389,2024-03-21,Emergencia,Regular,Bueno,20882
MNT-00390,2023-11-01,Correctivo,Malo,Bueno,57952
MNT-00391,2023-12-26,Preventivo,Bueno,Bueno,19063
MNT-00392,2024-01-13,Preventivo,Malo,Bueno,9294114
MNT-00393,2024-10-03,Correctivo,Regular,Malo,9397992
MNT-00394,2024-06-18,Preventivo,Malo,Regular,3580337
MNT-00395,2023-11-27,Preventivo,Regular,Regular,8888433
MNT-00396,2024-08-14,Correctivo,Malo,Malo,7838839
MNT-00397,2024-01-02,Emergencia,Regular,Malo,9223732
MNT-00398,2024-03-11,Emergencia,Bueno,Bueno,34038
MNT-00399,2024-05-29,Emergencia,Bueno,Bueno,4738613
MNT-00400,2024-02-06,Correctivo,Malo,Malo,9181012
MNT-00401,2024-04-23,Emergencia,Bueno,Bueno,5134826
MNT-00402,2024-04-28,Emergencia,Regular,Bueno,451362
MNT-00403,2023-11-16,Emergencia,Regular,Regular,4796700
MNT-00404,2024-06-13,Preventivo,Bueno,Bueno,7125617
MNT-00405,2024-07-29,Preventivo,Bueno,Malo,32595
MNT-00406,2024-07-07,Emergencia,Malo,Bueno,59441
MNT-00407,2023-12-18,Correctivo,Malo,Regular,25865
MNT-00408,2024-01-07,Correctivo,Regular,Regular,18805
MNT-00409,2024-08-25,Preventivo,Regular,Bueno,5107844
MNT-00410,2023-12-11,Emergencia,Regular,Regular,3997074
MNT-00411,2023-12-14,Correctivo,Regular,Malo,4983394
MNT-00412,2023-05-11,Correctivo,Malo,Regular,8907174
MNT-00413,2024-10-05,Correctivo,Malo,Regular,9181852
MNT-00414,2024-05-09,Correctivo,Bueno,Regular,59350
MNT-00415,2023-12-27,Correctivo,Malo,Bueno,5263778
MNT-00416,2023-11-23,Preventivo,Regular,Bueno,34946
MNT-00417,2024-03-16,Preventivo,Bueno,Bueno,9179675
MNT-00418,2024-04-09,Emergencia,Bueno,Malo,59415
MNT-00419,2024-04-06,Correctivo,Regular,Bueno,58560
MNT-00420,2024-06-05,Emergencia,Regular,Regular,7126530
MNT-00421,2024-12-01,Preventivo,Regular,Bueno,59874
MNT-00422,2024-04-17,Correctivo,Regular,Bueno,9494348
MNT-00423,2023-11-06,Preventivo,Malo,Regular,4737863
MNT-00424,2024-05-23,Preventivo,Bueno,Malo,4741986
MNT-00425,2024-07-28,Emergencia,Regular,Malo,9277863
MNT-00426,2023-12-31,Correctivo,Bueno,Bueno,5201909
MNT-00427,2024-09-15,Emergencia,Regular,Malo,58312
MNT-00428,2024-11-02,Correctivo,Malo,Malo,5241112
MNT-00429,2024-04-15,Preventivo,Bueno,Bueno,4730913
MNT-00430,2024-05-21,Preventivo,Regular,Malo,8938184
